Instructions (59      , 68      ) at Addr [32544     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (36      , 29      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (57      , 67      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (61      , 70      ) at Addr [32512     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (68      , 60      ) at Addr [32544     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (32      , 41      ) at Addr [32384     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (13      , 27      ) at Addr [32928     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (60      , 59      ) at Addr [32544     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (14      , 10      ) at Addr [32128     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
Instructions (29      , 28      ) at Addr [32392     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (30      , 31      ) at Addr [32416     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (60      , 60      ) at Addr [32544     ]  --> [i64_store             , i64_store             ] | 0 0
